epoch,accuracy,loss,val_accuracy,val_loss
0,0.8141555190086365,0.4038580656051636,0.9502944350242615,0.15290285646915436
1,0.9178703427314758,0.2124606966972351,0.955712616443634,0.11933945119380951
2,0.9398972392082214,0.15988978743553162,0.9686689972877502,0.08366826176643372
3,0.9467438459396362,0.14208456873893738,0.9739693999290466,0.06750009953975677
4,0.9518824219703674,0.12861858308315277,0.9744405150413513,0.06579762697219849
5,0.9551364183425903,0.12166044861078262,0.9726737141609192,0.06905695796012878
6,0.9578750729560852,0.11554881930351257,0.978916347026825,0.058129843324422836
7,0.9605547785758972,0.10777647793292999,0.9736160039901733,0.06342234462499619
8,0.9607462286949158,0.10650189220905304,0.9782096743583679,0.05641171708703041
9,0.9628517031669617,0.10220818966627121,0.9812721014022827,0.05331343784928322
10,0.9634995460510254,0.09983233362436295,0.9792697429656982,0.05514078587293625
11,0.965089738368988,0.09617585688829422,0.9804475903511047,0.05744900926947594
12,0.96457439661026,0.0959537923336029,0.9762073159217834,0.06655978411436081
13,0.9659879207611084,0.09344532340765,0.9819787740707397,0.045864999294281006
14,0.9665915966033936,0.09246101975440979,0.9793875217437744,0.058358099311590195
15,0.9670332670211792,0.09029951691627502,0.9833922386169434,0.046136580407619476
16,0.9682701230049133,0.08916589617729187,0.9791519641876221,0.06305881589651108
17,0.9690210223197937,0.08666219562292099,0.9806831479072571,0.04991692304611206
18,0.9677842259407043,0.08769349008798599,0.9818609952926636,0.04476618021726608
19,0.9693449139595032,0.08607533574104309,0.983156681060791,0.045649781823158264
20,0.9693007469177246,0.08458703756332397,0.9830388426780701,0.04317491501569748
21,0.970228374004364,0.08430851250886917,0.9830388426780701,0.044947121292352676
22,0.9701253175735474,0.08215679228305817,0.9836277961730957,0.044874075800180435
23,0.970228374004364,0.08237752318382263,0.9815076589584351,0.04793136194348335
24,0.9701105952262878,0.08161850273609161,0.9830388426780701,0.045747917145490646
25,0.9709645509719849,0.08100639283657074,0.9775029420852661,0.05953165516257286
